GPU,CPU,Difficulty,-r,k,C,OS,Giga Version,(Plot filter = 256),User,Information
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.201,DomoKitty,100W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.239,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.257,DomoKitty,140W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.279,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.294,DomoKitty,220W (default)
RTX 3060 Ti,2X E5-2696v2,"2,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.164,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"20,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.228,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"50,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.241,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"100,000",48,32,31,Ubuntu 22.04,2.1.4.giga30,0.245,iJey,Supermicro X9DR3/i-F || -r 8 = 0.2446 || -r 48 = 0.2458
RTX 3080 Ti,2X E5-2696v2,"2,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.288,iJey,Supermicro X9DR3-LNF4+
RTX 3080 Ti,2X E5-2696v2,"20,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.430,iJey,Supermicro X9DR3-LNF4+ || DEF-0.41 == +C150 = 0.43 == = PL80-C+200-280W-0.41
RTX 3080 Ti,2X E5-2696v2,"50,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.460,iJey,Supermicro X9DR3-LNF4+  || PL90- C+150- 300W-0.448 == PL80-C+200-280W-0.43 ==
